title,price,bedroom,bathroom,carport,LT,LB,badges,agent,updated,location,link,kecamatan,kabupaten_kota,total_rooms,min_area_needed,price_per_m2_land,price_per_m2_building,building_efficiency,listing_age_days,room_density,bathroom_bedroom_ratio,fuzzy_area_quality,fuzzy_quality_score,efficiency_category,kecamatan_encoded,kabupaten_kota_encoded
Cantik Modern Minimalis Dalam Perumahan dekat SMA Budi Mulia 2,934000000.0,3.0,1.0,1,100.0,60.0,"Rumah, Dekat Pusat Perbelanjaan, Dekat Sekolah",Rifaza Core,2025-04-29 14:00:25.159556,"Sleman, Yogyakarta",/properti/yogyakarta/hos17742496/,Sleman,Yogyakarta,4.0,36.0,9340000.0,15566666.666666666,0.6,7,0.06666666666666667,0.3333333333333333,0.20045193246692306,0.20045193246692306,medium,24,0
Rumah 2 Lantai Bagus Siap Huni Strategis di Umbulharjo,11000000000.0,3.0,1.0,1,110.0,140.0,"Rumah, Siap Huni, Dekat Akses Transportasi, Dekat Pusat Perbelanjaan",Lina Core,2025-04-06 03:26:49.159561,"Umbulharjo, Yogyakarta",/properti/yogyakarta/hos17742053/,Umbulharjo,Yogyakarta,4.0,36.0,100000000.0,78571428.57142857,1.2727272727272727,30,0.02857142857142857,0.3333333333333333,0.43562271884802906,0.43562271884802906,very_high,26,0
Rumah Mewah dalam Perumahan Elite dekat Pakuwon Mall Jogja!,217000000000.0,4.0,3.0,1,120.0,150.0,"Rumah, Dekat Pusat Perbelanjaan, Dekat Sekolah",Rifaza Core,2025-04-29 14:00:25.159562,"Maguwoharjo, Yogyakarta",/properti/yogyakarta/hos17742080/,Maguwoharjo,Yogyakarta,7.0,63.0,1808333333.3333333,1446666666.6666667,1.25,7,0.04666666666666667,0.75,0.4888596880663539,0.4888596880663539,very_high,13,0
Dijual Rumah di Perumahan Merapi View Kaliurang,19000000000.0,3.0,2.0,1,176.0,100.0,"Rumah, Dekat Landmark",Yohana Yuli,2025-04-06 03:26:49.159591,"Sleman, Yogyakarta",/properti/yogyakarta/hos17739988/,Sleman,Yogyakarta,5.0,45.0,107954545.45454545,190000000.0,0.5681818181818182,30,0.05,0.6666666666666666,0.5,0.5,medium,24,0
Rumah 2 Lantai Dekat Kampus Dan Rumah Sakit Jl. Sisingamangaraja Jogja,28000000000.0,5.0,2.0,1,236.0,236.0,"Rumah, Dekat Sekolah, Dekat Fasilitas Kesehatan",Mira Jogja,2025-05-05 14:00:25.160032,"Mergangsan, Yogyakarta",/properti/yogyakarta/hos17570670/,Mergangsan,Yogyakarta,7.0,63.0,118644067.79661018,118644067.79661018,1.0,1,0.029661016949152543,0.4,0.5000000000000001,0.5000000000000001,high,15,0
"FREE!! Pajak dan Notaris..10 Menit ke UPN, Sanata Dharma, STIE YKPN",550000000.0,3.0,1.0,1,93.0,64.0,"Rumah, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan",Rully Java,2025-04-06 03:26:49.160154,"Maguwoharjo, Yogyakarta",/properti/yogyakarta/hos17516337/,Maguwoharjo,Yogyakarta,4.0,36.0,5913978.494623655,8593750.0,0.6881720430107527,30,0.0625,0.3333333333333333,0.2529761015867828,0.2529761015867828,medium,13,0
"Rumah Siap Huni SHM di Umbulharjo, Yogyakarta",875000000.0,3.0,1.0,1,90.0,64.0,"Rumah, Siap Huni, Dekat Sekolah, Dekat Fasilitas Kesehatan",Gesit Jogja Realty,2025-04-29 14:00:25.161045,"Umbulharjo, Yogyakarta",/properti/yogyakarta/hos16087525/,Umbulharjo,Yogyakarta,4.0,36.0,9722222.222222222,13671875.0,0.7111111111111111,7,0.0625,0.3333333333333333,0.24287021714252394,0.24287021714252394,high,26,0
"Jogja Rumah Modern Dlm Perumahan Dikawasan Strategis Dekat Ugm,alazhar Di Jalan Sadewa Jl Palagan Tentara Pelajar Km 7,8 Sariharjo Ngaglik Sleman",139000000000.0,3.0,3.0,1,126.0,110.0,"Rumah, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan",Nining,2025-04-29 14:00:25.161502,"Sleman, Yogyakarta",/properti/yogyakarta/hos16738602/,Sleman,Yogyakarta,6.0,54.0,1103174603.1746032,1263636363.6363637,0.873015873015873,7,0.05454545454545454,1.0,0.5,0.5,high,24,0
"Rumah Siap Huni Modern Minimalis Furnished di Sariharjo, Sleman",17000000000.0,2.0,1.0,1,114.0,114.0,"Rumah, Full Furnished, Siap Huni, Dekat Pusat Perbelanjaan",Lina Core,2025-05-05 14:00:25.161649,"Sleman, Yogyakarta",/properti/yogyakarta/hos16076529/,Sleman,Yogyakarta,3.0,27.0,149122807.01754385,149122807.01754385,1.0,1,0.02631578947368421,0.5,0.4591745902269061,0.4591745902269061,high,24,0
"Dijual Rumah di Dekat SMA 1 TELADAN , Wirobrajan, Kotamadya",595000000.0,2.0,1.0,1,85.0,80.0,"Rumah, Dekat Sekolah",Yahya Abdulloh,2025-05-05 14:00:25.161666,"Wirobrajan, Yogyakarta",/properti/yogyakarta/hos16602647/,Wirobrajan,Yogyakarta,3.0,27.0,7000000.0,7437500.0,0.9411764705882353,1,0.0375,0.5,0.2163564061338587,0.2163564061338587,high,27,0
