title,price,bedroom,bathroom,carport,LT,LB,badges,agent,updated,location,link
"Rumah Etnik Jawa Sangat Strategis Di Lingkungan Kraton Jogjakarta","Rp 18 Miliar","8","5","2",": 851 m²",": 830 m²","Rumah, Dekat Tempat Wisata","Sherly","Diperbarui 2 minggu yang lalu oleh","Kraton, Yogyakarta","/properti/yogyakarta/hos17630154/"
"Rumah Cantik Minimalis Murah Di Tamanmartani Kalasan Sleman Dekat Pasar Tulung","Rp 385 Juta","2","1","1",": 72 m²",": 72 m²","Rumah, Dekat Sekolah, Dekat Tempat Ibadah","Dwi Zahra JR","Diperbarui 2 minggu yang lalu oleh","Kalasan, Sleman","/properti/sleman/hos17965216/"
"Siap Huni Rumah Minimalis Strategis Maguwoharjo Dekat Pasar Stan","Rp 690 Juta","3","2","1",": 97 m²",": 70 m²","Rumah, Siap Huni, Dekat Pusat Perbelanjaan, Dekat Sekolah","Novika Novie","Diperbarui 2 minggu yang lalu oleh","Maguwoharjo, Yogyakarta","/properti/yogyakarta/hos17965163/"
"Rumah Idaman Siap Huni Di Utara Pamela 7 Purwomartani Kalasan Sleman Jogja","Rp 675 Juta","3","2","1",": 112 m²",": 85 m²","Rumah, Siap Huni, Dekat Pusat Perbelanjaan, Dekat Sekolah","Dwi Zahra JR","Diperbarui 2 minggu yang lalu oleh","Purwomartani , Sleman","/properti/sleman/hos17965063/"
"Last Unit Rumah Murah Dekat Uii Jalan Kaliurang Dalam Cluster","Rp 845 Juta","3","2","1",": 136 m²",": 100 m²","Rumah, Dekat Sekolah, Dekat Fasilitas Kesehatan, Dekat Landmark","Novika Novie","Diperbarui 2 minggu yang lalu oleh","Ngaglik, Sleman","/properti/sleman/hos17965072/"
"Rumah Minimalis 400 Jutaan Lokasi 5 Menit Dari Polsek Sedayu","Rp 414 Juta","2","1","1",": 90 m²",": 36 m²","Rumah, Dekat Sekolah, Dekat Fasilitas Kesehatan","Rozaq Wastu","Diperbarui 2 minggu yang lalu oleh","Sedayu, Bantul","/properti/bantul/hos17965069/"
"Investasi Terbaik, Punya Rumah Cantik Smarthome System di Jogja Timur","Rp 735 Juta","1","1","1",": 100 m²",": 45 m²","Rumah, Dekat Sekolah, Dekat Tempat Ibadah","Arum ciptanugraha","Diperbarui 2 minggu yang lalu oleh","Bantul, Bantul","/properti/bantul/hos17965059/"
"Rumah Minimalis 400 Jutaan Lokasi 5 Menit Dari Polsek Sedayu","Rp 414 Juta","2","1","1",": 90 m²",": 36 m²","Rumah, Dekat Sekolah, Dekat Fasilitas Kesehatan","Bintang Octaviano Wastu","Diperbarui 2 minggu yang lalu oleh","Sedayu, Bantul","/properti/bantul/hos17965028/"
"Rumah Baru SHM 2 Lantai di Cluster Ndalem Hinggil Dekat Ukdw 2","Rp 647 Juta","3","3","1",": 74 m²",": 55 m²","Rumah, Dekat Sekolah","Irfan Firmansyah","Diperbarui 2 minggu yang lalu oleh","Sedayu, Bantul","/properti/bantul/hos17925982/"
"Rumah Minimalis 400 Jutaan Lokasi 5 Menit Dari Polsek Sedayu","Rp 414 Juta","2","1","1",": 90 m²",": 36 m²","Rumah, Dekat Sekolah, Dekat Fasilitas Kesehatan","Isnan Wastu","Diperbarui 2 minggu yang lalu oleh","Sedayu, Bantul","/properti/bantul/hos17964995/"
